rocstory,PersonX есть двор продажи,"[""чтобы избавиться от некоторых вещей""]","[""выполнено""]","[""none""]",4.0,3.0
rocstory,PersonX занимает ___ один день,"[""чтобы помочь""]","[""полезно"", ""общительный"", ""ответственность""]","[""благодарен""]",5.0,5.0
rocstory,PersonX возвращается в школу,"[""чтобы закончить свою степень""]","[""определяется"", ""счастливым""]","[""none""]",5.0,5.0
rocstory,PersonX пытается все,"[""узнать больше""]","[""довольный""]","[""none""]",5.0,5.0
toloka_set,PersonX рассказывает обо всем,"[""none""]","[""none""]","[""удивленный""]",,
rocstory,PersonX всегда,"[""использовать что-то""]","[""типичный"", ""утешал""]","[""none""]",3.0,3.0
rocstory,PersonX действительно жарко,"[""none""]","[""потные"", ""привлекательный"", ""неудобно""]","[""none""]",,2.0
rocstory,PersonX часы волны,"[""быть ​​смягчены""]","[""мир""]","[""none""]",4.0,5.0
rocstory,PersonX выглядит красиво,"[""none""]","[""любил""]","[""влюбленный""]",,5.0
toloka_set,PersonX зависит от условий,"[""none""]","[""разочарованный, грустный""]","[""сочувствующий""]",,
rocstory,PersonX также наблюдал ___,"[""чтобы узнать, как что-то заканчивается""]","[""развлекали""]","[""none""]",3.0,5.0
rocstory,PersonX занимает много ванны,"[""чтобы чувствовать себя свежим""]","[""счастливый""]","[""none""]",5.0,5.0
rocstory,PersonX складывает ___,"[""чтобы закончить загадку"", ""поставить модель вместе""]","[""удовлетворен тем, что они закончили головоломки""]","[""none""]",5.0,5
rocstory,PersonX любит играть в баскетбол,"[""none""]","[""счастливый"", ""развлекают""]","[""none""]",,4
toloka_set,PersonX приходит в отель,"[""переночевать""]","[""none""]","[""none""]",,
toloka_set,PersonX приходит на встречу,"[""договорился""]","[""none""]","[""радость""]",,
rocstory,PersonX должен получить работу,"[""none""]","[""отчаянная"", ""грустный""]","[""none""]",,2
rocstory,PersonX перемещает автомобиль,"[""чтобы попасть куда-нибудь""]","[""определяется""]","[""none""]",4.0,4.0
rocstory,PersonX видит ___ в классе,"[""чтобы узнать новый человек""]","[""дружелюбный""]","[""что они приветствовали""]",4.0,4.0
rocstory,PersonX берет кошку,"[""новый кот""]","[""созревать и счастливым""]","[""none""]",5.0,5.0
rocstory,PersonX находит птицу,"[""none""]","[""удивлен"", ""шокирован""]","[""none""]",,4.0
rocstory,PersonX получает много веса,"[""none""]","[""стыдно и жира""]","[""none""]",,1.0
toloka_set,PersonX описывает улицы,"[""сделать работу""]","[""none""]","[""недовольство""]",,
rocstory,PersonX возвращает кольцо,"[""не нравится, что кольцо дизайн""]","[""несчастный""]","[""несчастный""]",4.0,4
rocstory,PersonX часов ___ все время,"[""наслаждаться этим шоу""]","[""как это хорошее развлечение""]","[""none""]",4.0,4
rocstory,PersonX просит ___ рекомендации,"[""чтобы найти хорошее место""]","[""надежда""]","[""рад""]",5.0,5.0
rocstory,PersonX нюхает вокруг,"[""обнаружить запах""]","[""плохо""]","[""none""]",5.0,3.0
rocstory,PersonX будет вечеринка по случаю дня рождения,"[""чтобы отметить свой день рождения""]","[""возбуждаться"", ""счастливым""]","[""счастливый"", ""возбуждаться""]",5.0,5.0
rocstory,PersonX в конце концов нашли ___,"[""none""]","[""счастливый""]","[""none""]",,5.0
rocstory,PersonX играет в хоккей на льду,"[""осуществлять"", ""общаться с друзьями""]","[""устал"", ""наслаждение""]","[""none""]",4.0,3.0
rocstory,PersonX пытается поймать его,"[""рыба""]","[""определяется"", ""стремится""]","[""none""]",5.0,5.0
toloka_set,PersonX заставил себя,"[""none""]","[""довольный""]","[""none""]",,
rocstory,PersonX видит енот,"[""none""]","[""развлекался""]","[""none""]",,4
rocstory,PersonX звонит в дверь,"[""чтобы попасть в дом""]","[""приветствовал""]","[""дружелюбный""]",4.0,4.0
rocstory,PersonX начинает становиться лучше,"[""none""]","[""лучше""]","[""none""]",,4.0
toloka_set,PersonX пощупал ребра,"[""проверять""]","[""none""]","[""озабоченный ""]",,
toloka_set,PersonX создал вещи,"[""творчество""]","[""радость""]","[""благодарность""]",,
rocstory,PersonX практики действительно трудно,"[""чтобы быть лучшим в чем-то""]","[""сильный"", ""активный"", ""быстрый""]","[""none""]",4.0,4.0
rocstory,PersonX решает заказать пиццу,"[""утолить голод""]","[""довольный""]","[""none""]",5.0,5.0
rocstory,PersonX выскакивает капот,"[""чтобы понять, почему машина не запускается"", ""заполнить масляную камеру""]","[""послушный"", ""обеспечить"", ""любопытный""]","[""none""]",4.0,3.0
rocstory,PersonX вступает в конкуренцию,"[""побеждать""]","[""в восторге""]","[""none""]",4.0,5.0
rocstory,PersonX покупает поставку,"[""нести ответственность"", ""быть кооператив"", ""чувствовать себя нужным""]","[""организовал"", ""надежный"", ""подготовлен""]","[""оценивается"", ""уважаемый"", ""доверие""]",5.0,5.0
rocstory,PersonX принимает ___ в суд,"[""в обвинениях файлов"", ""получить то, что связано с ними""]","[""сердится"", ""надежды на случай""]","[""раздражен тащат в суд""]",3.0,2.0
rocstory,PersonX четыре года,"[""none""]","[""ничего""]","[""none""]",,3.0
rocstory,PersonX продолжает идти,"[""чтобы попасть куда-нибудь"", ""очистить свой ум""]","[""устал"", ""расслабились""]","[""none""]",3.0,3.0
rocstory,PersonX ест ___ в ресторане,"[""ликвидировать голод""]","[""довольный""]","[""none""]",4.0,4
rocstory,PersonX имеет большое время на вечеринке,"[""быть ​​общительным""]","[""компанейский""]","[""социальное""]",5.0,5.0
toloka_set,PersonX согласилась на предложение,"[""none""]","[""none""]","[""согласие""]",,
rocstory,PersonX видит ___ в ту ночь,"[""чтобы увидеть новую версию""]","[""в восторге""]","[""none""]",3.0,3.0
rocstory,PersonX окликает такси,"[""чтобы пойти куда-нибудь""]","[""освобожден"", ""бросился"", ""благодарный""]","[""рад, что клиент""]",3.0,4.0
toloka_set,PersonX оглушает PersonY,"[""атака""]","[""none""]","[""страх""]",,
rocstory,PersonX дает ___ рейз,"[""лицо у награды рейз""]","[""хороший""]","[""счастливый""]",5.0,5.0
toloka_set,PersonX значит говорит,"[""благодарен""]","[""превосходящий""]","[""счастливый""]",,
rocstory,PersonX попадет ___ в голове,"[""чтобы кто-то больно"", ""защитить себя""]","[""плохой"", ""насильственный""]","[""больно"", ""сердитый""]",1.0,1.0
toloka_set,PersonX лежит в кровати,"[""прятаться""]","[""мощный""]","[""расстроен""]",,
rocstory,PersonX открывает грудь,"[""чтобы найти что-то""]","[""любопытный""]","[""none""]",3.0,3
rocstory,PersonX покупает новую шляпку,"[""смотреть красивый""]","[""счастливый и довольный""]","[""none""]",4.0,4.0
toloka_set,PersonX создала возможность,"[""помогать""]","[""полезный""]","[""честь""]",,
rocstory,PersonX выступает на сцене,"[""развлекать других""]","[""гордый""]","[""в восторге""]",5.0,5.0
rocstory,PersonX уходит ___ в школе,"[""none""]","[""забыл""]","[""none""]",,3.0
toloka_set,PersonX усиливает влияние,"[""причинять""]","[""виновный""]","[""счастливый""]",,
rocstory,PersonX хочет сделать печенье,"[""иметь десерт""]","[""виновный""]","[""none""]",5.0,4.0
rocstory,PersonX выигрывает конкурс,"[""none""]","[""возбуждаться"", ""радость""]","[""гордый""]",,5.0
rocstory,PersonX не умеет готовить,"[""не узнать""]","[""стыдно""]","[""none""]",3.0,3.0
rocstory,PersonX горшок поезд ___,"[""также рад доволен""]","[""два""]","[""none""]",3.0,5
rocstory,PersonX говорит своим родителям,"[""поделиться хорошей новостью""]","[""хороший""]","[""счастливый""]",5.0,5.0
rocstory,PersonX не ел весь день,"[""чтобы получить работу""]","[""голодают""]","[""none""]",2.0,2.0
rocstory,PersonX делает поездку,"[""чтобы весело провести время"", ""чтобы увидеть что-то интересное""]","[""развлекаться"", ""счастливым""]","[""none""]",4.0,4.0
rocstory,PersonX принимает ___ в убежище,"[""чтобы отдать собаку""]","[""грустный"", ""расстройство""]","[""none""]",5.0,1
toloka_set,PersonX переходит в новую школу,"[""заниматься""]","[""виновный""]","[""расстроен""]",,
rocstory,PersonX теряет пятьдесят фунтов,"[""чтобы чувствовать себя более уверенно""]","[""здоровый""]","[""none""]",5.0,5
toloka_set,PersonX объясняет PersonY,"[""none""]","[""помощь""]","[""none""]",,
toloka_set,PersonX засек время,"[""помогать""]","[""довольный""]","[""благодарный""]",,
rocstory,PersonX любит ходить на рыбалку,"[""чтобы получить рыбу""]","[""выполнено""]","[""none""]",5.0,5.0
rocstory,PersonX держит ___ в качестве домашнего животного,"[""домашнее животное""]","[""счастливый"", ""компанейский""]","[""none""]",5.0,5.0
